F,Altitude,Country,Fragmentation_Devices,Fragmentation_Devices_Type,Fragmentation_Devices_Weight,Fragmentation_Devices_Weight_Tons,High_Explosives,High_Explosives_Type,High_Explosives_Weight,High_Explosives_Weight_Tons,Incendiary_Devices,Incendiary_Devices_Type,Incendiary_Devices_Weight,Incendiary_Devices_Weight_Tons,Mission_Date,Mission_ID,Takeoff_Base,Takeoff_Latitude,Takeoff_Location,Takeoff_Longitude,Target_City,Target_Country,Target_Latitude,Target_Longitude,Theater_of_Operations,Total_Weight,Total_Weight_Tons
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/6/1941,80035,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,JEDABYA L.G.,LIBYA,30.76,20.23,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/6/1941,80038,SHALLUFA,30.2469,EGYPT,32.4923,TRIPOLI,LIBYA,32.92,13.08,MTO,,0
,,SOUTH AFRICA,,,,,,,0,,,,,,4/6/1941,80039,NAIROBI,-1.2833,KENYA,36.8167,ADDIS ABABA,ETHIOPIA,9.0272,38.7369,MTO,0,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/7/1941,80090,SHALLUFA,30.2469,EGYPT,32.4923,HOMS L.G.,LIBYA,32.65,14.26,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/7/1941,80092,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,MENGAR EL TESCHIN (MENGER EL MERCHAB?),LIBYA,32.09,24.01,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/9/1941,80476,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,MEKILI,LIBYA,32.17,22.28,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/9/1941,80477,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,NEAR BIR BELAURED (BI'R BAYYUD),LIBYA,31.6,23.83,MTO,,0
LIB,60,GREAT BRITAIN,,,,0,,,,,,,,0,4/12/1945,80525,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,ENEMY CONCENTRATIONS AT ARGENTA,,44.62,11.83,,,143.75
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/11/1941,80826,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,GAAD EL AHMAR,LIBYA,30.05,24.08,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/11/1941,80830,SHALLUFA,30.2469,EGYPT,32.4923,TOBRUK ROAD,LIBYA,32.04,23.95,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/14/1941,81216,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,SOLLUM - TOBRUK - MEKILI AREA,LIBYA,31.5,25.12,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/15/1941,81269,SHALLUFA,30.2469,EGYPT,32.4923,"""MENASTIR, EL ADEM, DERNA""",LIBYA,31.97,0.03,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/16/1941,81653,SHALLUFA,30.2469,EGYPT,32.4923,SOLLUM AREA,LIBYA,31.5,25.12,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/17/1941,82018,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,CAPUZZO - BARDIA AREA,LIBYA,31.58,25.05,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/17/1941,82020,SHALLUFA,30.2469,EGYPT,32.4923,EL ADEM,LIBYA,31.91,23.91,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/20/1941,82092,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,EL ADEM,LIBYA,31.91,23.91,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/21/1941,82098,SHALLUFA,30.2469,EGYPT,32.4923,CAPUZZO AREA,LIBYA,31.58,25.05,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/22/1941,82311,SHALLUFA,30.2469,EGYPT,32.4923,BARCE,LIBYA,32.5,20.8,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/22/1941,82312,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,BENGHAZI,LIBYA,32.11,20.05,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/23/1941,82326,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,GAZALA N. L.G.,LIBYA,32.15,23.36,MTO,,0
